author,top_flair,total_items,spike_items,spike_share,hebrew_items
victoryismind,Lebanese,3246,1074,0.331,3
LevantinePlantCult,Unflaired/Unknown,954,597,0.626,20
levnon14,Diaspora Lebanese,982,557,0.567,0
cha3bghachim,Lebanese,1124,532,0.473,0
[deleted],Unflaired/Unknown,4816,396,0.082,16
Current-Meal9360,Lebanese,413,390,0.944,0
OptimismNeeded,Israeli,456,321,0.704,7
MajorTechnology8827,Israeli,551,294,0.534,11
Glad-Difference-3238,Lebanese,474,279,0.589,0
MuskyScent972,Unflaired/Unknown,358,244,0.682,8
62TiredOfLiving,Unflaired/Unknown,327,234,0.716,0
Reasonable_Wolf1883,Israeli,289,232,0.803,2
Sr4f,Diaspora Lebanese,393,223,0.567,0
EmperorChaos,Diaspora Lebanese,966,211,0.218,0
Shachar2like,Unflaired/Unknown,814,207,0.254,0
simpleman9006,Unflaired/Unknown,307,200,0.651,3
extrastone,Israeli,323,186,0.576,1
Flashy_Produce_3733,Unflaired/Unknown,198,170,0.859,0
ForbiddenBromance-ModTeam,Unflaired/Unknown,463,167,0.361,0
sumostuff,Unflaired/Unknown,350,166,0.474,1
EquivalentBarracuda4,Unflaired/Unknown,281,163,0.58,1
Basic_Suggestion3476,Israeli,366,160,0.437,6
SmartTrash7152,Unflaired/Unknown,322,157,0.488,1
Antique-Ad-2618,Unflaired/Unknown,186,147,0.79,0
CruntyMcNugget,Israeli,291,145,0.498,7
price_of_sleep,Unflaired/Unknown,239,144,0.603,0
Synth_Sapiens,Israeli,219,142,0.648,3
the3dverse,Israeli,282,139,0.493,1
Curious_Diver1005,Israeli,139,137,0.986,0
porn0f1sh,Unflaired/Unknown,270,127,0.47,5
gilad_ironi,Unflaired/Unknown,203,127,0.626,2
Zealousideal_Hurry97,Unflaired/Unknown,164,126,0.768,1
Israelidru,Israeli,127,126,0.992,2
InitialLiving6956,Unflaired/Unknown,369,122,0.331,0
OliveWhisperer,Diaspora Lebanese,211,120,0.569,0
freedomlegion,Unflaired/Unknown,179,120,0.67,3
Scienceisfun321,Israeli,145,120,0.828,10
tFighterPilot,Israeli,219,115,0.525,2
Anonymous-Balls,Palestinian,123,115,0.935,0
IbnEzra613,Diaspora Jew,904,114,0.126,48
OmryR,Unflaired/Unknown,268,114,0.425,0
orangecyanide,Unflaired/Unknown,294,112,0.381,0
sad-frogpepe,Israeli,255,112,0.439,1
captain-shawarma,Diaspora Lebanese,144,112,0.778,1
Haunting_Birthday135,Israeli,195,110,0.564,7
AutoModerator,Unflaired/Unknown,131,107,0.817,0
GrandStructure2410,Diaspora Lebanese,178,106,0.596,0
Suitable_Vehicle9960,Diaspora Israeli,150,106,0.707,1
oshaboy,Unflaired/Unknown,188,102,0.543,5
HerbNPaper,Unflaired/Unknown,100,100,1.0,0
Finaltryer,Unflaired/Unknown,99,99,1.0,0
Previous-Border3774,Unflaired/Unknown,174,97,0.557,0
Turbulent-Counter149,Unflaired/Unknown,148,97,0.655,0
yesmilady,Israeli,148,96,0.649,0
No-Mathematician5020,Diaspora Israeli,112,95,0.848,3
RoyalSeraph,Diaspora Israeli,322,94,0.292,14
PlukvdPetteflet,Unflaired/Unknown,105,93,0.886,2
dax_movbysh,Israeli,100,92,0.92,1
FriendlyJewThrowaway,Diaspora Jew,805,91,0.113,0
Putrid-Distance-1475,Unflaired/Unknown,90,90,1.0,6
Tacidvurn,Lebanese,90,89,0.989,0
Both-Entertainment-3,Israeli,170,87,0.512,1
Substance_Bubbly,Israeli,180,86,0.478,1
rdiol12,Unflaired/Unknown,100,86,0.86,0
sergy777,Unflaired/Unknown,93,85,0.914,0
allum1na4ed,Unflaired/Unknown,152,83,0.546,0
Cool_Firefighter7731,Unflaired/Unknown,194,81,0.418,0
isaacfisher,Israeli,208,80,0.385,8
EternalII,Unflaired/Unknown,116,79,0.681,0
AdVivid8910,Unflaired/Unknown,116,79,0.681,0
DevelopmentMediocre6,Unflaired/Unknown,167,78,0.467,2
Enough_Youth_4564,Unflaired/Unknown,123,78,0.634,0
KinoOnTheRoad,Unflaired/Unknown,118,77,0.653,0
yannylaurel0,Lebanese,76,76,1.0,0
Mobile-Field-5684,Unflaired/Unknown,74,74,1.0,0
bakochba,Unflaired/Unknown,325,73,0.225,0
thatbuddzguy,Unflaired/Unknown,80,73,0.912,1
dan2737,Israeli,271,72,0.266,0
Ezraah,Unflaired/Unknown,144,71,0.493,0
