source_type,source_name,date_start,date_end,posts_downloaded,comments_downloaded,posts_path,comments_path,status,notes
u,ForbiddenBromance-ModTeam,2019-01-01,now,0,450,/Users/joeyq/Desktop/bromance/raw/user_histories/ForbiddenBromance-ModTeam/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/ForbiddenBromance-ModTeam/comments.jsonl,completed,posts=0; comments=450
u,cha3bghachim,2019-01-01,now,172,3765,/Users/joeyq/Desktop/bromance/raw/user_histories/cha3bghachim/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/cha3bghachim/comments.jsonl,completed,posts=172; comments=3765
u,amazing9999,2019-01-01,now,169,9528,/Users/joeyq/Desktop/bromance/raw/user_histories/amazing9999/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/amazing9999/comments.jsonl,completed,posts=169; comments=9528
u,CruntyMcNugget,2019-01-01,now,90,647,/Users/joeyq/Desktop/bromance/raw/user_histories/CruntyMcNugget/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/CruntyMcNugget/comments.jsonl,completed,posts=90; comments=647
u,victoryismind,2019-01-01,now,207,10294,/Users/joeyq/Desktop/bromance/raw/user_histories/victoryismind/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/victoryismind/comments.jsonl,completed,posts=207; comments=10294
u,TheGooblyGamer,2019-01-01,now,5,498,/Users/joeyq/Desktop/bromance/raw/user_histories/TheGooblyGamer/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/TheGooblyGamer/comments.jsonl,completed,posts=5; comments=498
u,Worldineatydays,2019-01-01,now,6,54,/Users/joeyq/Desktop/bromance/raw/user_histories/Worldineatydays/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/Worldineatydays/comments.jsonl,completed,posts=6; comments=54
u,ConnorStreetmann,2019-01-01,now,28,203,/Users/joeyq/Desktop/bromance/raw/user_histories/ConnorStreetmann/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/ConnorStreetmann/comments.jsonl,completed,posts=28; comments=203
u,levnon14,2019-01-01,now,83,1151,/Users/joeyq/Desktop/bromance/raw/user_histories/levnon14/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/levnon14/comments.jsonl,completed,posts=83; comments=1151
u,EmperorChaos,2019-01-01,now,19,14153,/Users/joeyq/Desktop/bromance/raw/user_histories/EmperorChaos/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/EmperorChaos/comments.jsonl,completed,posts=19; comments=14153
u,LevantinePlantCult,2019-01-01,now,45,5402,/Users/joeyq/Desktop/bromance/raw/user_histories/LevantinePlantCult/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/LevantinePlantCult/comments.jsonl,completed,posts=45; comments=5402
u,IbnEzra613,2019-01-01,now,324,47324,/Users/joeyq/Desktop/bromance/raw/user_histories/IbnEzra613/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/IbnEzra613/comments.jsonl,completed,posts=324; comments=47324
u,FriendlyJewThrowaway,2019-01-01,now,4,5695,/Users/joeyq/Desktop/bromance/raw/user_histories/FriendlyJewThrowaway/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/FriendlyJewThrowaway/comments.jsonl,completed,posts=4; comments=5695
u,MajorTechnology8827,2019-01-01,now,133,6931,/Users/joeyq/Desktop/bromance/raw/user_histories/MajorTechnology8827/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/MajorTechnology8827/comments.jsonl,completed,posts=133; comments=6931
u,Tamtumtam,2019-01-01,now,566,30573,/Users/joeyq/Desktop/bromance/raw/user_histories/Tamtumtam/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/Tamtumtam/comments.jsonl,completed,posts=566; comments=30573
u,OptimismNeeded,2019-01-01,now,418,14450,/Users/joeyq/Desktop/bromance/raw/user_histories/OptimismNeeded/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/OptimismNeeded/comments.jsonl,completed,posts=418; comments=14450
u,DaDerpyDude,2019-01-01,now,864,5963,/Users/joeyq/Desktop/bromance/raw/user_histories/DaDerpyDude/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/DaDerpyDude/comments.jsonl,completed,posts=864; comments=5963
u,Current-Meal9360,2019-01-01,now,12,474,/Users/joeyq/Desktop/bromance/raw/user_histories/Current-Meal9360/posts.jsonl,/Users/joeyq/Desktop/bromance/raw/user_histories/Current-Meal9360/comments.jsonl,completed,posts=12; comments=474
